30,,,Create homepage layout with sub_footer input false,,,"Layout should be created with sub_footer=false
response code: 200",,,,,,,,,,,,,,,,,,,
31,,,Create homepage layout with sub_footer input empty/null,,,"Layout should use default sub_footer value
response code: 200",,,,,,,,,,,,,,,,,,,
32,,,Create homepage layout with sub_footer input integer except 0/1,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
33,,,Create homepage layout with sub_footer input as string,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
34,,,Create homepage layout with sub_footer input as long char set,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
35,,,Create homepage layout with sub_footer input as long integer,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
36,,,Create homepage layout with sub_footer input as JS script,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
37,,,Create homepage layout with sub_footer input as SQL injection,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
38,,,Create homepage layout with sub_footer input special characters,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
39,,,Create homepage layout with sub_footer input traversal path,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
40,,Instance Validation,Create homepage layout with invalid instance id,,,"Layout should not be created
response code: 404",,,,,,,,,,,,,,,,,,,
41,,,Create homepage layout with deleted instance id,,,"Layout should not be created
response code: 404",,,,,,,,,,,,,,,,,,,
42,,,Create homepage layout with non-existent site id,,,"Layout should not be created
response code: 404",,,,,,,,,,,,,,,,,,,
43,,,Create homepage layout with instance id of another site,,,"Layout should not be created
response code: 404",,,,,,,,,,,,,,,,,,,
44,,Payload Validation,Create homepage layout with empty payload,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
45,,,Create homepage layout with missing banner field,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
46,,,Create homepage layout with missing title field,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
47,,,Create homepage layout with missing footer field,,,"Layout should not be created
response code: 417",,,,,,,,,,,,,,,,,,,
48,,,Create homepage layout with missing sub_footer field,,,"Layout should be created with default sub_footer
response code: 200",,,,,,,,,,,,,,,,,,,
49,,,Create homepage layout with extra unknown fields in payload,,,"Layout should be created (extra fields ignored)
response code: 200",,,,,,,,,,,,,,,,,,,
50,,,Create homepage layout with malformed JSON payload,,,"Layout should not be created
response code: 400",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
